dataset,model,feature,n,auroc_full,auroc_without,delta_auroc,ci_low,ci_high
trivia_qa,qwen3-4b-nothink,trace_length,989,0.8004,0.7985,0.0019,-0.0026,0.0066
trivia_qa,qwen3-4b-nothink,rep_5,989,0.8004,0.8019,-0.0015,-0.0033,0.0002
trivia_qa,qwen3-4b-nothink,hedging_formal,989,0.8004,0.8012,-0.0008,-0.0022,0.0006
trivia_qa,qwen3-4b-nothink,hedging_reasoning,989,0.8004,0.7964,0.004,0.0005,0.0075
trivia_qa,qwen3-4b-nothink,connector_density,989,0.8004,0.8022,-0.0018,-0.0036,-0.0001
trivia_qa,qwen3-4b-nothink,trace_divergence,989,0.8004,0.6628,0.1376,0.1075,0.1688
medqa,llama-3.1-8b-instruct,trace_length,974,0.6584,0.6068,0.0516,0.0211,0.0828
medqa,llama-3.1-8b-instruct,rep_5,974,0.6584,0.6592,-0.0008,-0.0048,0.003
medqa,llama-3.1-8b-instruct,hedging_formal,974,0.6584,0.6495,0.0088,-0.0034,0.0215
medqa,llama-3.1-8b-instruct,hedging_reasoning,974,0.6584,0.6541,0.0042,-0.0037,0.0123
medqa,llama-3.1-8b-instruct,connector_density,974,0.6584,0.6499,0.0085,-0.0034,0.0207
medqa,llama-3.1-8b-instruct,trace_divergence,974,0.6584,0.6377,0.0207,-0.0022,0.0435
mmlu_pro,llama-3.1-8b-instruct,trace_length,731,0.6569,0.646,0.0109,-0.004,0.0243
mmlu_pro,llama-3.1-8b-instruct,rep_5,731,0.6569,0.6577,-0.0008,-0.0045,0.0029
mmlu_pro,llama-3.1-8b-instruct,hedging_formal,731,0.6569,0.6291,0.0278,0.0012,0.0557
mmlu_pro,llama-3.1-8b-instruct,hedging_reasoning,731,0.6569,0.6562,0.0007,-0.0097,0.0101
mmlu_pro,llama-3.1-8b-instruct,connector_density,731,0.6569,0.6455,0.0114,-0.0054,0.0283
mmlu_pro,llama-3.1-8b-instruct,trace_divergence,731,0.6569,0.6338,0.0231,-0.0011,0.0492
trivia_qa,llama-3.1-8b-instruct,trace_length,818,0.6462,0.6332,0.013,0.0009,0.0262
trivia_qa,llama-3.1-8b-instruct,rep_5,818,0.6462,0.6438,0.0024,-0.0037,0.0084
trivia_qa,llama-3.1-8b-instruct,hedging_formal,818,0.6462,0.6474,-0.0012,-0.0095,0.007
trivia_qa,llama-3.1-8b-instruct,hedging_reasoning,818,0.6462,0.6478,-0.0016,-0.0079,0.0041
trivia_qa,llama-3.1-8b-instruct,connector_density,818,0.6462,0.6483,-0.0021,-0.0064,0.0023
trivia_qa,llama-3.1-8b-instruct,trace_divergence,818,0.6462,0.5893,0.0569,0.0143,0.0979
